Date,State_Name,veg_id,veg_name,whole_price,retail_price,shop_mall_price,unit_val,Vegetable_Image
2024-05-02,Maharashtra,cucumber,Cucumber,27,31 - 34,32 - 45,1kg,resource/images/vegetables/cucumber-64.png
2024-05-02,Maharashtra,curryleaves,Curry Leaves,29,33 - 37,35 - 48,1kg,resource/images/vegetables/curryleaves-64.png
2024-05-02,Maharashtra,dillleaves,Dill Leaves,14,16 - 18,17 - 23,1kg,resource/images/vegetables/dillleaves-64.png
2024-05-02,Maharashtra,drumsticks,Drumsticks,40,46 - 51,48 - 66,1kg,resource/images/vegetables/drumsticks-64.png
2024-05-02,Maharashtra,brinjal,Brinjal,22,25 - 28,26 - 36,1kg,resource/images/vegetables/brinjal-64.png
2024-05-02,Maharashtra,brinjalbig,Brinjal (Big),25,29 - 32,30 - 41,1kg,resource/images/vegetables/brinjalbig-64.png
2024-05-02,Maharashtra,elephantyam,Elephant Yam,26,30 - 33,31 - 43,1kg,resource/images/vegetables/elephantyam-64.png
2024-05-02,Maharashtra,fenugreekleaves,Fenugreek Leaves,10,12 - 13,12 - 17,1kg,resource/images/vegetables/fenugreekleaves-64.png
2024-05-02,Maharashtra,frenchbeans,French Beans,55,63 - 70,66 - 91,1kg,resource/images/vegetables/frenchbeans-64.png
2024-05-02,Maharashtra,garlic,Garlic,159,183 - 202,191 - 262,1kg,resource/images/vegetables/garlic-64.png
2024-05-02,Maharashtra,ginger,Ginger,111,128 - 141,133 - 183,1kg,resource/images/vegetables/ginger-64.png
2024-05-02,Maharashtra,oniongreen,Onion Green,43,49 - 55,52 - 71,1kg,resource/images/vegetables/oniongreen-64.png
2024-05-02,Maharashtra,greenpeas,Green Peas,43,49 - 55,52 - 71,1kg,resource/images/vegetables/greenpeas-64.png
2024-05-02,Maharashtra,ivygourd,Ivy Gourd,23,26 - 29,28 - 38,1kg,resource/images/vegetables/ivygourd-64.png
2024-05-02,Maharashtra,lemon,Lemon (Lime),71,82 - 90,85 - 117,1kg,resource/images/vegetables/lemon-64.png
2024-05-02,Maharashtra,mangoraw,Mango Raw,26,30 - 33,31 - 43,1kg,resource/images/vegetables/mangoraw-64.png
